,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,short_album_name,release_date,album_id
533,0.537,0.279,0.0,-20.591,1.0,0.0441,0.987,0.888,0.109,0.967,113.678,audio_features,7DfAKU2FLGuQ6zm6jhszp5,spotify:track:7DfAKU2FLGuQ6zm6jhszp5,https://api.spotify.com/v1/tracks/7DfAKU2FLGuQ6zm6jhszp5,https://api.spotify.com/v1/audio-analysis/7DfAKU2FLGuQ6zm6jhszp5,54827.0,4.0,"33 Variations on a Waltz by Diabelli in C Major, Op. 120: Theme. Vivace",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
514,0.406,0.0357,7.0,-28.953,1.0,0.0347,0.992,0.952,0.125,0.955,179.141,audio_features,1TWwmgdQciM4TzGcuGOUsY,spotify:track:1TWwmgdQciM4TzGcuGOUsY,https://api.spotify.com/v1/tracks/1TWwmgdQciM4TzGcuGOUsY,https://api.spotify.com/v1/audio-analysis/1TWwmgdQciM4TzGcuGOUsY,57000.0,4.0,"11 Bagatelles, Op.119: 2. Andante con moto",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
515,0.268,0.111,2.0,-19.33,1.0,0.0352,0.99,0.844,0.125,0.686,76.754,audio_features,4quIwEq4eqkIRQEThtVf0z,spotify:track:4quIwEq4eqkIRQEThtVf0z,https://api.spotify.com/v1/tracks/4quIwEq4eqkIRQEThtVf0z,https://api.spotify.com/v1/audio-analysis/4quIwEq4eqkIRQEThtVf0z,40400.0,3.0,"12 Variations on ""See the conquering hero comes"" for Cello and Piano, WoO 45: Variation X. Allegro",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
516,0.406,0.078,5.0,-26.139,0.0,0.0346,0.995,0.93,0.143,0.843,153.872,audio_features,1p2TyjCMLkMYaoxcfBif4z,spotify:track:1p2TyjCMLkMYaoxcfBif4z,https://api.spotify.com/v1/tracks/1p2TyjCMLkMYaoxcfBif4z,https://api.spotify.com/v1/audio-analysis/1p2TyjCMLkMYaoxcfBif4z,52093.0,3.0,"Waltz in C Minor, WoO 219 (Hess 68)",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
517,0.313,0.0691,7.0,-26.805,0.0,0.0416,0.985,0.838,0.101,0.364,132.231,audio_features,35pQ80f0fYMHKuRthapELF,spotify:track:35pQ80f0fYMHKuRthapELF,https://api.spotify.com/v1/tracks/35pQ80f0fYMHKuRthapELF,https://api.spotify.com/v1/audio-analysis/35pQ80f0fYMHKuRthapELF,111000.0,4.0,"6 Bagatelles, Op. 126: 2. Allegro",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
518,0.5,0.00276,4.0,-32.718,1.0,0.0532,0.996,0.885,0.0775,0.311,104.991,audio_features,1sQzZErQKwAu5PN1cTO9wU,spotify:track:1sQzZErQKwAu5PN1cTO9wU,https://api.spotify.com/v1/tracks/1sQzZErQKwAu5PN1cTO9wU,https://api.spotify.com/v1/audio-analysis/1sQzZErQKwAu5PN1cTO9wU,85653.0,4.0,"Piano Sonata No. 30 in E Major, Op. 109: III. Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
519,0.417,0.377,2.0,-19.623,1.0,0.0573,0.987,0.889,0.115,0.528,111.853,audio_features,1lNuo532bjOOvjZBAgvHXm,spotify:track:1lNuo532bjOOvjZBAgvHXm,https://api.spotify.com/v1/tracks/1lNuo532bjOOvjZBAgvHXm,https://api.spotify.com/v1/audio-analysis/1lNuo532bjOOvjZBAgvHXm,40293.0,4.0,"Anglaise in D Major, WoO 212 (Hess 61)",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
520,0.401,0.371,0.0,-16.308,1.0,0.0754,0.978,0.857,0.087,0.436,123.525,audio_features,6TbT0MpFXF5OTDqFcrGuko,spotify:track:6TbT0MpFXF5OTDqFcrGuko,https://api.spotify.com/v1/tracks/6TbT0MpFXF5OTDqFcrGuko,https://api.spotify.com/v1/audio-analysis/6TbT0MpFXF5OTDqFcrGuko,51613.0,4.0,"Bagatelle in C Major, Hess 57",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
521,0.161,0.0121,11.0,-39.102,0.0,0.0456,0.996,0.748,0.114,0.472,137.53,audio_features,3bl0uXgaUVDkHswqcHSoY4,spotify:track:3bl0uXgaUVDkHswqcHSoY4,https://api.spotify.com/v1/tracks/3bl0uXgaUVDkHswqcHSoY4,https://api.spotify.com/v1/audio-analysis/3bl0uXgaUVDkHswqcHSoY4,81693.0,3.0,"Piano Sonata No.14 In C Sharp Minor, Op.27 No.2 -: I. Adagio sostenuto",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
522,0.452,0.356,7.0,-19.106,1.0,0.0667,0.994,0.839,0.105,0.536,75.899,audio_features,5v0HwyGxDOIv56lV31hZKT,spotify:track:5v0HwyGxDOIv56lV31hZKT,https://api.spotify.com/v1/tracks/5v0HwyGxDOIv56lV31hZKT,https://api.spotify.com/v1/audio-analysis/5v0HwyGxDOIv56lV31hZKT,57973.0,4.0,"Finale in G Major, WoO 213, No. 2",Beethoven for cozy days,Beethoven for cozy days,2020-12-28,2J5W34DpXqe9ZDhZfEvB3r
